time,x_cart,y_cart,z_cart,lat,long,height,clock_offset,integer_ambiguity,noise,visibility,distance
30,-13570801.392116716,15227068.41341273,16969877.577272754,[[39.80540492]],[[131.70834391]],[[20163740.68713585]],-7.661720974283369e-05,100,-0.6017066122293969,False,27902.335020229264
31,-13572952.820668334,15227391.6360147,16967889.257670905,[[39.79979238]],[[131.7122512]],[[20163752.99279091]],-7.661721292606514e-05,100,1.8522781845089378,False,27902.458778600016
32,-13575103.984629039,15227714.928457147,16965900.575993463,[[39.79417927]],[[131.71615717]],[[20163765.29888423]],-7.66172161092966e-05,100,-0.013497224737933921,False,27902.58246241511
33,-13577254.883954657,15228038.29069683,16963911.532283463,[[39.78856562]],[[131.72006181]],[[20163777.60541571]],-7.661721929252805e-05,100,-1.0577109289559004,False,27902.706071679204
34,-13579405.518601028,15228361.722690491,16961922.126583938,[[39.7829514]],[[131.72396513]],[[20163789.9123852]],-7.661722247575951e-05,100,0.822544912103189,False,27902.82960639694
35,-13581555.888523975,15228685.224394867,16959932.35893792,[[39.77733663]],[[131.72786712]],[[20163802.21979256]],-7.661722565899097e-05,100,-1.2208436499710222,False,27902.95306657293
36,-13583705.993679382,15229008.795766685,16957942.229388464,[[39.7717213]],[[131.73176778]],[[20163814.52763769]],-7.661722884222242e-05,100,0.2088635950047554,False,27903.076452211844
37,-13585855.834023098,15229332.436762678,16955951.737978622,[[39.76610542]],[[131.73566712]],[[20163826.83592044]],-7.661723202545388e-05,100,-1.9596701238797756,False,27903.199763318324
38,-13588005.409511015,15229656.147339553,16953960.88475146,[[39.76048898]],[[131.73956514]],[[20163839.14464068]],-7.661723520868533e-05,100,-1.3281860488984305,False,27903.32299989701
39,-13590154.72009902,15229979.927454019,16951969.66975004,[[39.75487199]],[[131.74346183]],[[20163851.45379829]],-7.661723839191679e-05,100,0.19686123586912352,False,27903.446161952557
40,-13592303.765742991,15230303.77706277,16949978.093017444,[[39.74925444]],[[131.74735721]],[[20163863.7633931]],-7.661724157514825e-05,100,0.7384665799954104,False,27903.569249489618
41,-13594452.546398874,15230627.696122503,16947986.15459676,[[39.74363633]],[[131.75125125]],[[20163876.07342504]],-7.66172447583797e-05,100,0.1713682811899705,False,27903.692262512854
42,-13596601.062022567,15230951.684589906,16945993.854531076,[[39.73801767]],[[131.75514398]],[[20163888.38389393]],-7.661724794161116e-05,100,-0.11564828238824053,False,27903.815201026915
43,-13598749.312570004,15231275.742421651,16944001.192863498,[[39.73239846]],[[131.75903538]],[[20163900.69479966]],-7.661725112484262e-05,100,-0.3011036955892888,False,27903.938065036473
44,-13600897.297997136,15231599.869574409,16942008.16963712,[[39.72677869]],[[131.76292546]],[[20163913.00614209]],-7.661725430807407e-05,100,-1.4785219903674274,False,27904.060854546187
45,-13603045.018259909,15231924.066004848,16940014.78489508,[[39.72115837]],[[131.76681422]],[[20163925.3179211]],-7.661725749130553e-05,100,-0.7198442083947086,False,27904.183569560722
46,-13605192.473314295,15232248.331669616,16938021.038680486,[[39.7155375]],[[131.77070166]],[[20163937.63013655]],-7.661726067453698e-05,100,-0.4606387709597875,False,27904.306210084756
47,-13607339.663116261,15232572.666525358,16936026.93103647,[[39.70991607]],[[131.77458778]],[[20163949.94278831]],-7.661726385776844e-05,100,1.0571222262189157,False,27904.428776122946
48,-13609486.587621793,15232897.070528716,16934032.46200617,[[39.70429408]],[[131.77847258]],[[20163962.25587626]],-7.66172670409999e-05,100,0.3436182895684614,False,27904.551267679974
49,-13611633.246786896,15233221.543636331,16932037.631632738,[[39.69867155]],[[131.78235605]],[[20163974.56940025]],-7.661727022423135e-05,100,-1.763040155362734,False,27904.67368476052
