epoch,phase
53701,29917091.75437581
53702,29915861.824936643
53703,29914631.760061912
53704,29913401.55337071
53705,29912171.20846584
53706,29910940.721639805
53707,29909710.096803695
53708,29908479.333508898
53709,29907248.42918942
53710,29906017.38782444
53711,29904786.20393143
53712,29903554.88660073
53713,29902323.423240136
53714,29901091.828773472
53715,29899860.090471424
53716,29898628.21422369
53717,29897396.201998465
53718,29896164.05050083
53719,29894931.760289047
53720,29893699.33159738
53721,29892466.762876987
53722,29891234.05922399
53723,29890001.21464182
53724,29888768.23611397
53725,29887535.118298788
53726,29886301.861919824
53727,29885068.467298932
53728,29883834.937982894
53729,29882601.27262577
53730,29881367.46604782
53731,29880133.523004204
53732,29878899.44415261
53733,29877665.228607208
53734,29876430.873769216
53735,29875196.384199098
53736,29873961.75871721
53737,29872726.996175405
53738,29871492.099287327
53739,29870257.06204105
53740,29869021.88969801
53741,29867786.582380503
53742,29866551.136369854
53743,29865315.557620034
53744,29864079.842060823
53745,29862843.990326792
53746,29861608.005469766
53747,29860371.882230308
53748,29859135.622238662
53749,29857899.228702456
53750,29856662.699968144
53751,29855426.037134346
53752,29854189.238547042
53753,29852952.304818213
53754,29851715.234569255
53755,29850478.031810377
53756,29849240.693658486
53757,29848003.222054485
53758,29846765.614289586
53759,29845527.870349627
53760,29844289.993879393
53761,29843051.985436194
53762,29841813.84059686
53763,29840575.56195989
53764,29839337.149948135
53765,29838098.605261747
53766,29836859.9234472
53767,29835621.11345591
53768,29834382.16403185
53769,29833143.08510583
53770,29831903.870207347
53771,29830664.522537388
53772,29829425.043962203
53773,29828185.429876897
53774,29826945.685368076
53775,29825705.80645014
53776,29824465.79429643
53777,29823225.65101655
53778,29821985.3752334
53779,29820744.964966506
53780,29819504.4228792
53781,29818263.75028546
53782,29817022.94444831
53783,29815782.005783573
53784,29814540.937541164
53785,29813299.734101877
53786,29812058.40235462
53787,29810816.935005732
53788,29809575.339730192
53789,29808333.610401902
53790,29807091.751251683
53791,29805849.75803495
53792,29804607.640121434
53793,29803365.385071766
53794,29802123.001581278
53795,29800880.484101072
53796,29799637.839766137
53797,29798395.062829494
53798,29797152.1547612
53799,29795909.11940651
53800,29794665.950159434
53801,29793422.651537467
53802,29792179.22357833
53803,29790935.66334133
53804,29789691.97557718
53805,29788448.156800408
53806,29787204.208310146
53807,29785960.130937483
53808,29784715.921585254
53809,29783471.584041648
53810,29782227.117078483
53811,29780982.520814616
53812,29779737.79710351
53813,29778492.941311505
53814,29777247.958733227
53815,29776002.845353868
53816,29774757.602722257
53817,29773512.231841035
53818,29772266.73298265
53819,29771021.106062513
53820,29769775.35202074
53821,29768529.46797539
53822,29767283.454163995
53823,29766037.314214215
53824,29764791.043865386
53825,29763544.6469393
53826,29762298.123595346
53827,29761051.47045588
53828,29759804.690792702
53829,29758557.78228155
53830,29757310.74652448
53831,29756063.58394902
53832,29754816.294429094
53833,29753568.877108287
53834,29752321.33156913
53835,29751073.660995062
53836,29749825.861291956
53837,29748577.937336132
53838,29747329.884911086
53839,29746081.704303365
53840,29744833.404544376
53841,29743584.970111866
53842,29742336.412154198
53843,29741087.730688225
53844,29739838.917718492
53845,29738589.98121664
53846,29737340.920289364
53847,29736091.731972646
53848,29734842.418044146
53849,29733592.97832201
53850,29732343.4140434
53851,29731093.72539487
53852,29729843.906304765
53853,29728593.967640575
53854,29727343.902042657
53855,29726093.708513107
53856,29724843.393164232
53857,29723592.951429512
