epoch,phase
53491,30172130.582309667
53492,30170932.171560183
53493,30169733.60014113
53494,30168534.870855276
53495,30167335.98030522
53496,30166136.929618396
53497,30164937.718086373
53498,30163738.346385818
53499,30162538.81572928
53500,30161339.125008013
53501,30160139.27923826
53502,30158939.269917097
53503,30157739.101555403
53504,30156538.77312445
53505,30155338.28788701
53506,30154137.64234309
53507,30152936.841712374
53508,30151735.878288686
53509,30150534.75504746
53510,30149333.47810406
53511,30148132.037374776
53512,30146930.441683788
53513,30145728.686630595
53514,30144526.772933688
53515,30143324.701374475
53516,30142122.472360168
53517,30140920.084790673
53518,30139717.540257346
53519,30138514.83752501
53520,30137311.97632758
53521,30136108.96005349
53522,30134905.782797746
53523,30133702.451386888
53524,30132498.960795783
53525,30131295.31327849
53526,30130091.509853464
53527,30128887.548521783
53528,30127683.43205867
53529,30126479.15678551
53530,30125274.72708946
53531,30124070.137066323
53532,30122865.391672917
53533,30121660.493768364
53534,30120455.438349098
53535,30119250.22421439
53536,30118044.853825834
53537,30116839.32882874
53538,30115633.6510989
53539,30114427.812150326
53540,30113221.81930393
53541,30112015.673728127
53542,30110809.36913629
53543,30109602.90862618
53544,30108396.29882787
53545,30107189.52823951
53546,30105982.601969495
53547,30104775.52571617
53548,30103568.289222155
53549,30102360.900319185
53550,30101153.35699761
53551,30099945.66169306
53552,30098737.809162527
53553,30097529.799529303
53554,30096321.640436817
53555,30095113.320889197
53556,30093904.854423545
53557,30092696.231192447
53558,30091487.453736287
53559,30090278.520888302
53560,30089069.43623625
53561,30087860.196186267
53562,30086650.80463343
53563,30085441.258717902
53564,30084231.559600372
53565,30083021.70866008
53566,30081811.70230433
53567,30080601.545304354
53568,30079391.23243605
53569,30078180.770108555
53570,30076970.15212315
53571,30075759.381134607
53572,30074548.459165446
53573,30073337.38346152
53574,30072126.157410815
53575,30070914.776952837
53576,30069703.24778337
53577,30068491.56255719
53578,30067279.72773154
53579,30066067.737694282
53580,30064855.6005299
53581,30063643.309565865
53582,30062430.868415162
53583,30061218.274086896
53584,30060005.529263563
53585,30058792.632076643
53586,30057579.58505846
53587,30056366.38534323
53588,30055153.033643648
53589,30053939.534122117
53590,30052725.88256021
53591,30051512.07701159
53592,30050298.12632643
53593,30049084.025936566
53594,30047869.769754995
53595,30046655.36573902
53596,30045440.809258115
53597,30044226.105555825
53598,30043011.252825726
53599,30041796.247383926
53600,30040581.0924132
53601,30039365.790756255
53602,30038150.335055076
53603,30036934.73121042
53604,30035718.979861952
53605,30034503.076968882
53606,30033287.02567933
53607,30032070.825992823
53608,30030854.475912567
53609,30029637.97643244
53610,30028421.33133937
53611,30027204.535563637
53612,30025987.589696664
53613,30024770.497246847
53614,30023553.25446423
53615,30022335.862753905
53616,30021118.327112447
53617,30019900.639487706
53618,30018682.805024587
53619,30017464.82206702
53620,30016246.691401787
53621,30015028.41334289
53622,30013809.987284217
53623,30012591.414710518
53624,30011372.69270818
53625,30010153.824865844
53626,30008934.809309095
53627,30007715.643094026
53628,30006496.335773267
53629,30005276.877925888
53630,30004057.273619607
53631,30002837.5231586
53632,30001617.62421864
53633,30000397.580774195
53634,29999177.388272997
53635,29997957.050646048
53636,29996736.568982434
53637,29995515.93853646
53638,29994295.162617914
53639,29993074.239794973
53640,29991853.17300969
53641,29990631.95836933
53642,29989410.59917469
53643,29988189.09350579
53644,29986967.442404468
53645,29985745.646753523
53646,29984523.706537306
53647,29983301.61800429
53648,29982079.386307683
53649,29980857.00905497
53650,29979634.48659459
53651,29978411.821495615
53652,29977189.007159606
53653,29975966.052008197
53654,29974742.950236917
53655,29973519.70614624
53656,29972296.31582041
53657,29971072.78268235
53658,29969849.10385146
53659,29968625.280715715
53660,29967401.314893268
53661,29966177.204594214
53662,29964952.94864743
53663,29963728.55242359
53664,29962504.01042446
53665,29961279.32557681
53666,29960054.496220484
53667,29958829.523992132
53668,29957604.40880555
53669,29956379.148296814
53670,29955153.74983026
53671,29953928.208879724
53672,29952702.52032723
53673,29951476.690148287
53674,29950250.718473684
53675,29949024.602390386
53676,29947798.344948392
53677,29946571.945389207
53678,29945345.40302898
53679,29944118.71904039
53680,29942891.893548112
53681,29941664.925536036
53682,29940437.816840425
53683,29939210.564813647
53684,29937983.16890752
53685,29936755.635129124
53686,29935527.957871992
53687,29934300.13854406
53688,29933072.182132218
53689,29931844.082329795
53690,29930615.840443585
53691,29929387.458438106
53692,29928158.9344018
53693,29926930.269647636
53694,29925701.465547882
53695,29924472.521920953
53696,29923243.435058985
53697,29922014.206887856
53698,29920784.841952093
53699,29919555.336295493
53700,29918325.688866172
53701,29917095.902455315
53702,29915865.97282132
53703,29914635.907751773
53704,29913405.70086576
53705,29912175.35576607
53706,29910944.868745215
53707,29909714.243714277
53708,29908483.48022466
53709,29907252.575710353
53710,29906021.53415055
53711,29904790.35006271
53712,29903559.03253717
53713,29902327.56898175
53714,29901095.974320255
53715,29899864.235823374
53716,29898632.3593808
53717,29897400.346960742
53718,29896168.19526826
53719,29894935.904861636
53720,29893703.475975126
53721,29892470.90705989
53722,29891238.203212045
53723,29890005.358435024
53724,29888772.379712325
53725,29887539.26170229
53726,29886306.005128473
53727,29885072.610312734
53728,29883839.08080184
53729,29882605.41524985
53730,29881371.60847703
53731,29880137.66523856
53732,29878903.586192105
53733,29877669.370451838
53734,29876435.01541898
53735,29875200.52565399
53736,29873965.899977233
53737,29872731.13724056
53738,29871496.240157608
53739,29870261.20271646
53740,29869026.03017854
53741,29867790.72266617
53742,29866555.276460625
53743,29865319.697515916
53744,29864083.98176183
53745,29862848.129832916
53746,29861612.144780997
53747,29860376.021346655
53748,29859139.76116013
53749,29857903.36742902
53750,29856666.83849981
53751,29855430.175471127
53752,29854193.37668892
53753,29852956.4427652
53754,29851719.37232134
53755,29850482.16936756
53756,29849244.83102077
53757,29848007.35922186
53758,29846769.751262058
53759,29845532.00712719
53760,29844294.130462043
53761,29843056.121823933
53762,29841817.976789687
53763,29840579.6979578
53764,29839341.285751127
53765,29838102.740869824
53766,29836864.058860358
53767,29835625.248674147
53768,29834386.299055163
53769,29833147.219934218
53770,29831908.004840802
53771,29830668.65697592
53772,29829429.178205814
53773,29828189.56392557
53774,29826949.819221817
53775,29825709.940108947
53776,29824469.927760296
53777,29823229.78428548
53778,29821989.508307394
53779,29820749.097845547
53780,29819508.55556331
53781,29818267.88277462
53782,29817027.076742526
53783,29815786.13788284
53784,29814545.069445483
53785,29813303.865811244
53786,29812062.53386903
53787,29810821.066325188
53788,29809579.470854692
53789,29808337.741331443
53790,29807095.88198626
53791,29805853.888574567
53792,29804611.77046609
53793,29803369.515221454
53794,29802127.131536003
53795,29800884.61386083
53796,29799641.969330925
53797,29798399.19219931
53798,29797156.28393604
53799,29795913.248386372
53800,29794670.078944318
53801,29793426.780127376
53802,29792183.351973258
53803,29790939.79154127
53804,29789696.103582144
53805,29788452.284610383
53806,29787208.33592513
53807,29785964.258357484
53808,29784720.048810255
53809,29783475.711071663
53810,29782231.243913505
53811,29780986.64745464
53812,29779741.92354854
53813,29778497.06756154
53814,29777252.084788255
53815,29776006.971213892
53816,29774761.72838728
53817,29773516.357311048
53818,29772270.858257655
53819,29771025.23114251
53820,29769779.476905726
53821,29768533.592665363
53822,29767287.578658953
53823,29766041.438514154
53824,29764795.16797031
53825,29763548.7708492
53826,29762302.247310214
