epoch,phase
53898,48701571.8514594
53899,48700316.25123272
53900,48699060.53397301
53901,48697804.69248101
53902,48696548.72852168
53903,48695292.647829846
53904,48694036.44591358
53905,48692780.12424593
53906,48691523.67959238
53907,48690267.1169158
53908,48689010.43497823
53909,48687753.63541913
53910,48686496.7112256
53911,48685239.67099832
53912,48683982.50952911
53913,48682725.22804886
53914,48681467.828978755
53915,48680210.30757789
53916,48678952.669816144
53917,48677694.91047788
53918,48676437.036220916
53919,48675179.039877914
53920,48673920.92862229
53921,48672662.69356508
53922,48671404.34280845
53923,48670145.87262998
53924,48668887.28348977
53925,48667628.57784865
53926,48666369.75197443
53927,48665110.809394166
53928,48663851.75024292
53929,48662592.569129415
53930,48661333.271644205
53931,48660073.85697842
53932,48658814.32549346
53933,48657554.67605683
53934,48656294.9089315
53935,48655035.022889294
53936,48653775.02056974
53937,48652514.90308627
53938,48651254.66829186
53939,48649994.31552767
53940,48648733.84630023
53941,48647473.2598365
53942,48646212.55594508
53943,48644951.73583507
53944,48643690.80132466
53945,48642429.748611026
53946,48641168.57860311
53947,48639907.29545937
53948,48638645.89485339
53949,48637384.37776785
53950,48636122.745141774
53951,48634860.99483922
53952,48633599.13216446
53953,48632337.151284635
53954,48631075.05812078
53955,48629812.8462039
53956,48628550.51967001
53957,48627288.07968141
53958,48626025.52107378
53959,48624762.85073273
53960,48623500.0661033
53961,48622237.163546965
53962,48620974.14702832
53963,48619711.01612388
53964,48618447.770412594
53965,48617184.41164552
53966,48615920.93733411
53967,48614657.349900946
53968,48613393.647856146
53969,48612129.832743905
53970,48610865.90118562
53971,48609601.85698361
53972,48608337.700697035
53973,48607073.42907624
53974,48605809.04314266
53975,48604544.54552704
53976,48603279.932834245
53977,48602015.20777992
53978,48600750.37126714
53979,48599485.41821558
53980,48598220.35360431
53981,48596955.17679796
53982,48595689.88479447
53983,48594424.48387804
53984,48593158.96898994
53985,48591893.34290548
53986,48590627.600801565
53987,48589361.74862508
53988,48588095.783801004
53989,48586829.70887667
53990,48585563.518746875
53991,48584297.21550855
53992,48583030.80557989
53993,48581764.279069416
53994,48580497.64339333
53995,48579230.89524542
53996,48577964.03942783
53997,48576697.06851095
53998,48575429.987029694
53999,48574162.794161215
54000,48572895.49009082
54001,48571628.07440015
54002,48570360.549387254
54003,48569092.91236439
54004,48567825.16506362
54005,48566557.30773995
54006,48565289.3427279
54007,48564021.2616091
54008,48562753.07433076
54009,48561484.7765632
54010,48560216.36633677
54011,48558947.84584864
54012,48557679.21708774
54013,48556410.47933449
54014,48555141.63316387
54015,48553872.674418755
54016,48552603.606113195
54017,48551334.42854343
54018,48550065.14298436
54019,48548795.74743425
54020,48547526.24294729
54021,48546256.62838418
54022,48544986.90593287
54023,48543717.075892195
54024,48542447.134405375
54025,48541177.08630342
54026,48539906.92977997
54027,48538636.66445776
54028,48537366.29127067
54029,48536095.806677654
54030,48534825.21630079
54031,48533554.52041796
54032,48532283.71438628
54033,48531012.79739761
54034,48529741.77555863
54035,48528470.64723825
54036,48527199.40945345
54037,48525928.06469291
54038,48524656.61170356
54039,48523385.05376429
54040,48522113.386176854
54041,48520841.612418905
54042,48519569.73083462
54043,48518297.74513251
54044,48517025.649549976
54045,48515753.44872768
54046,48514481.14221187
54047,48513208.725708656
54048,48511936.20598292
54049,48510663.57750261
54050,48509390.84530177
54051,48508118.00774822
54052,48506845.05951958
54053,48505572.00996042
54054,48504298.85415124
54055,48503025.590175055
54056,48501752.220473155
54057,48500478.74582436
54058,48499205.16543047
54059,48497931.48398767
54060,48496657.69180742
54061,48495383.79506337
54062,48494109.79541171
54063,48492835.68994919
54064,48491561.48024986
54065,48490287.16807069
54066,48489012.74685869
54067,48487738.22208591
54068,48486463.59397375
54069,48485188.86139
54070,48483914.02256574
54071,48482639.08175819
54072,48481364.03384994
54073,48480088.88379237
54074,48478813.62987494
54075,48477538.273635365
54076,48476262.80942616
54077,48474987.248471476
