time,x_cart,y_cart,z_cart,lat,long,height,clock_offset,integer_ambiguity,noise,visibility,distance
53508,19359643.67922353,-13207015.409047753,-12702961.860284954,[[-28.49797966]],[[-34.30153876]],[[20283543.61184498]],-7.678744259464862e-05,100,-1.3106001786175772,True,25883.29240810291
53509,19358939.993820928,-13205571.227332605,-12705545.32315458,[[-28.504296]],[[-34.29959145]],[[20283550.30587616]],-7.678744577788007e-05,100,-0.6828767840037818,True,25882.9505316563
53510,19358236.214678437,-13204126.735320304,-12708128.518658293,[[-28.51061206]],[[-34.29764341]],[[20283556.99806054]],-7.678744896111153e-05,100,-0.0035872486017125616,True,25882.608628081944
53511,19357532.341852564,-13202681.933020178,-12710711.446741793,[[-28.51692784]],[[-34.29569464]],[[20283563.68839785]],-7.678745214434298e-05,100,-0.7356752692524373,True,25882.266697375864
53512,19356828.375399873,-13201236.820441304,-12713294.10735096,[[-28.52324335]],[[-34.29374514]],[[20283570.37688785]],-7.678745532757444e-05,100,0.05662124240096495,True,25881.92473953398
53513,19356124.3153769,-13199791.397592992,-12715876.500431506,[[-28.52955857]],[[-34.29179491]],[[20283577.06353026]],-7.67874585108059e-05,100,1.359535639349779,True,25881.582754552317
53514,19355420.161840204,-13198345.664484385,-12718458.625929305,[[-28.53587352]],[[-34.28984395]],[[20283583.74832482]],-7.678746169403735e-05,100,1.468355977353364,True,25881.240742426835
53515,19354715.914846294,-13196899.62112482,-12721040.483790105,[[-28.54218818]],[[-34.28789226]],[[20283590.43127127]],-7.678746487726881e-05,100,-0.7951129249390767,True,25880.89870315353
53516,19354011.57445173,-13195453.267523505,-12723622.073959745,[[-28.54850257]],[[-34.28593983]],[[20283597.11236933]],-7.678746806050027e-05,100,-0.7548024499650808,True,25880.556636728375
53517,19353307.140713055,-13194006.60368972,-12726203.396384036,[[-28.55481667]],[[-34.28398668]],[[20283603.79161876]],-7.678747124373172e-05,100,0.3266077672417812,True,25880.214543147362
53518,19352602.613686807,-13192559.62963273,-12728784.451008819,[[-28.5611305]],[[-34.28203279]],[[20283610.46901928]],-7.678747442696318e-05,100,-1.5124508037825668,True,25879.872422406483
53519,19351897.99342954,-13191112.345361894,-12731365.237779852,[[-28.56744405]],[[-34.28007817]],[[20283617.14457064]],-7.678747761019463e-05,100,0.5193174203359768,True,25879.53027450174
53520,19351193.27999778,-13189664.750886416,-12733945.756643092,[[-28.57375732]],[[-34.27812283]],[[20283623.81827256]],-7.678748079342609e-05,100,-0.3243895794867704,True,25879.18809942909
53521,19350488.473448075,-13188216.84621576,-12736526.007544236,[[-28.5800703]],[[-34.27616674]],[[20283630.4901248]],-7.678748397665755e-05,100,0.7879799544673733,True,25878.845897184565
53522,19349783.573836964,-13186768.63135913,-12739105.990429252,[[-28.58638301]],[[-34.27420993]],[[20283637.16012706]],-7.6787487159889e-05,100,-0.5614789781578126,True,25878.50366776413
53523,19349078.581221003,-13185320.106325949,-12741685.705243908,[[-28.59269544]],[[-34.27225238]],[[20283643.82827912]],-7.678749034312046e-05,100,0.307909496784435,True,25878.16141116381
53524,19348373.495656706,-13183871.271125568,-12744265.151934097,[[-28.59900759]],[[-34.2702941]],[[20283650.49458068]],-7.678749352635192e-05,100,0.6024100280866749,True,25877.81912737958
53525,19347668.31720064,-13182422.125767369,-12746844.33044567,[[-28.60531945]],[[-34.26833509]],[[20283657.1590315]],-7.678749670958337e-05,100,-1.1237866442002653,True,25877.476816407452
53526,19346963.04590933,-13180972.670260703,-12749423.240724508,[[-28.61163104]],[[-34.26637534]],[[20283663.8216313]],-7.678749989281483e-05,100,0.3955184175299875,True,25877.134478243413
53527,19346257.681839336,-13179522.904614996,-12752001.882716483,[[-28.61794234]],[[-34.26441486]],[[20283670.48237985]],-7.678750307604628e-05,100,2.193990348431982,True,25876.792112883493
53528,19345552.225047193,-13178072.82883965,-12754580.256367462,[[-28.62425337]],[[-34.26245365]],[[20283677.14127684]],-7.678750625927774e-05,100,-1.6392198491552246,True,25876.449720323668
53529,19344846.675589435,-13176622.442944089,-12757158.361623356,[[-28.63056411]],[[-34.2604917]],[[20283683.79832203]],-7.67875094425092e-05,100,-0.7511437304350049,True,25876.107300559954
